Name,Description,semantic
a2p - Awk to Perl translator,A2p takes an awk script specified on the command line (or from standardinput) and produces a comparable perl script on the standard output.,a2p - Awk to Perl translator A2p takes an awk script specified on the command line (or from standardinput) and produces a comparable perl script on the standard output.
"abrt-action-analyze-backtrace - Analyzes C/C++ backtrace, generatesduplication hash, backtrace rating, and identifies crash function inproblem directory DIR.","The tool reads a file named backtrace from problem directory, generatesduplication hash, backtrace rating, and identifies crash function. Thenit saves this data as new elements duphash, rating, crash_function in","abrt-action-analyze-backtrace - Analyzes C/C++ backtrace, generatesduplication hash, backtrace rating, and identifies crash function inproblem directory DIR. The tool reads a file named backtrace from problem directory, generatesduplication hash, backtrace rating, and identifies crash function. Thenit saves this data as new elements duphash, rating, crash_function in"
abrt-action-analyze-c - Calculate and save UUID for a problem datadirectory DIR with coredump.,"The tool reads the file named coredump from a problem data directory,processes it and generates a universally unique identifier (UUID). Thenit saves this data as new element uuid.","abrt-action-analyze-c - Calculate and save UUID for a problem datadirectory DIR with coredump. The tool reads the file named coredump from a problem data directory,processes it and generates a universally unique identifier (UUID). Thenit saves this data as new element uuid."
abrt-action-analyze-ccpp-local - Generates backtrace and search forduplicates,"This tool downloads debuginfo and generates a backtrace for coredump inthe problem directory, also checks for existing duplicates in bugzillaand possible updates related to the detected crash","abrt-action-analyze-ccpp-local - Generates backtrace and search forduplicates This tool downloads debuginfo and generates a backtrace for coredump inthe problem directory, also checks for existing duplicates in bugzillaand possible updates related to the detected crash"
abrt-action-analyze-core - Extracts builds from a core dump,The tool reads a core dump and extracts build ids of loaded modules andprints the list to the standard output if the OUTFILE file is notconfigured.,abrt-action-analyze-core - Extracts builds from a core dump The tool reads a core dump and extracts build ids of loaded modules andprints the list to the standard output if the OUTFILE file is notconfigured.
abrt-action-analyze-oops - Calculate and save UUID and duplicate hashfor a problem data directory DIR with kernel oops.,"The tool reads the file named backtrace from a problem data directory,parses it as a kernel oops record and generates a duplication hash anda universally unique identifier (UUID). Then it saves this data as new","abrt-action-analyze-oops - Calculate and save UUID and duplicate hashfor a problem data directory DIR with kernel oops. The tool reads the file named backtrace from a problem data directory,parses it as a kernel oops record and generates a duplication hash anda universally unique identifier (UUID). Then it saves this data as new"
abrt-action-analyze-python - Calculate and save UUID and duplicate hashfor a problem data directory DIR with Python crash data.,"The tool reads the file named backtrace from a problem data directory,parses it as a Python exception and generates a duplication hash and auniversally unique identifier (UUID). Then it saves this data as new","abrt-action-analyze-python - Calculate and save UUID and duplicate hashfor a problem data directory DIR with Python crash data. The tool reads the file named backtrace from a problem data directory,parses it as a Python exception and generates a duplication hash and auniversally unique identifier (UUID). Then it saves this data as new"
abrt-action-analyze-vmcore - Extracts the oops message from the kernelcore and install the kernel debuginfo if needed,"The tool reads the file named vmcore from a problem data directory,processes it and the oops message from it. Then it saves this data asnew element backtrace.","abrt-action-analyze-vmcore - Extracts the oops message from the kernelcore and install the kernel debuginfo if needed The tool reads the file named vmcore from a problem data directory,processes it and the oops message from it. Then it saves this data asnew element backtrace."
abrt-action-analyze-vulnerability - Provides assessment of potentialexploitability of crash,This tool expects that file named coredump is placed in the currentdirectory and runs abrt-gdb-exploitable gdb plugin on that file. Theresult of vulnerability analysis is saved in exploitable file in the,abrt-action-analyze-vulnerability - Provides assessment of potentialexploitability of crash This tool expects that file named coredump is placed in the currentdirectory and runs abrt-gdb-exploitable gdb plugin on that file. Theresult of vulnerability analysis is saved in exploitable file in the
abrt-action-analyze-xorg - Calculate and save UUID and duplicate hashfor a problem data directory DIR with Xorg backtrace.,"The tool reads the file named Xorg.0.log and checks if any black listedmodule was loaded. If so, not-reportable file is created with anappropriate explanation text. If no black listed module was loaded, the","abrt-action-analyze-xorg - Calculate and save UUID and duplicate hashfor a problem data directory DIR with Xorg backtrace. The tool reads the file named Xorg.0.log and checks if any black listedmodule was loaded. If so, not-reportable file is created with anappropriate explanation text. If no black listed module was loaded, the"
